N_Ahalf,N_Bhalf,N_Chalf,N_A%,N_B%,N_C%,AnN_A%,AnN_B%,AnN_C%,tfinal,iterlength,elementtotal,timestep
2.53,11.05,stable,8.494587767620382,63.740875985021134,27.764536247358485,8.494587767620395,62.72919817100481,28.776214061374795,60.0,0.5,3,9.5
2.53,11.05,stable,7.407134213367094,62.860178688533736,29.73268709809917,7.4071342133671045,61.862479062014074,30.730386724618814,60.0,0.5,3,10.0
2.53,11.05,stable,6.45889344553833,61.86746222520329,31.67364432925838,6.45889344553834,60.88551872387082,32.65558783059085,60.0,0.5,3,10.5
2.53,11.05,stable,5.632043829519645,60.78400708732566,33.58394908315469,5.632043829519654,59.81925989069616,34.54869627978419,60.0,0.5,3,11.0
2.53,11.05,stable,4.911045206906421,59.62815520527276,35.460799587820816,4.91104520690643,58.68175337474141,36.40720141835215,60.0,0.5,3,11.5
2.53,11.05,stable,4.28234682725038,58.41569275082082,37.301960421928804,4.282346827250387,57.488534793966146,38.229118378783454,60.0,0.5,3,12.0
2.53,11.05,stable,3.7341326695734547,57.16018373074988,39.10568359967667,3.734132669573461,56.252952870931054,40.01291445949547,60.0,0.5,3,12.5
2.53,11.05,stable,3.25609936711474,55.873260676715994,40.87063995616926,3.256099367114746,54.98645550891964,41.75744512396561,60.0,0.5,3,13.0
2.53,11.05,stable,2.839262561535095,54.56487792992587,42.59585950853903,2.8392625615351,53.69883905654758,43.461898381917315,60.0,0.5,3,13.5
2.53,11.05,stable,2.475788047119128,53.24353231504864,44.28067963783223,2.4757880471191327,52.398465479198244,45.12574647368262,60.0,0.5,3,14.0
2.53,11.05,stable,2.1588445314278766,51.91645538384601,45.92470008472611,2.1588445314278806,51.09245155141442,46.748703917157705,60.0,0.5,3,14.5
2.53,11.05,stable,1.8824752451241609,50.58978087365139,47.52774388122444,1.8824752451241649,49.78683365752204,48.3306910973538,60.0,0.5,3,15.0
2.53,11.05,stable,1.6414859879518189,49.268690559017095,49.08982345303108,1.6414859879518229,48.48671132835976,49.87180268368841,60.0,0.5,3,15.5
2.53,11.05,stable,1.4313475067580193,47.957541267802554,50.61111122543942,1.431347506758022,47.19637224140247,51.37228025183949,60.0,0.5,3,16.0
2.53,11.05,stable,1.2481103708102645,46.65997547804471,52.091914151145026,1.2481103708102672,45.91940106226832,52.8324885669214,60.0,0.5,3,16.5
2.53,11.05,stable,1.0883307445390975,45.379017602461744,53.53265165299916,1.0883307445391002,44.65877420102098,54.25289505443991,60.0,0.5,3,17.0
2.53,11.05,stable,0.9490056626483127,44.11715779757673,54.93383653977495,0.9490056626483143,43.416942291097776,55.634052046253906,60.0,0.5,3,17.5
2.53,11.05,stable,0.8275165911259518,42.876424899134854,56.29605850973919,0.8275165911259535,42.195901967115795,56.97658144175825,60.0,0.5,3,18.0
2.53,11.05,stable,0.7215802134180587,41.6584498803037,57.619969906278236,0.7215802134180604,40.997258315880956,58.28116147070098,60.0,0.5,3,18.5
2.53,11.05,stable,0.6292055168199057,40.46452105023358,58.90627343294651,0.6292055168199074,39.82227919885181,59.548515284328275,60.0,0.5,3,19.0
2.53,11.05,stable,0.5486563725483338,39.29563205455008,60.15571157290158,0.548656372548335,38.67194249078135,60.77940113667032,60.0,0.5,3,19.5
2.53,11.05,stable,0.47841890620939453,38.152523603322244,61.36905749046836,0.4784189062093958,37.54697714539023,61.974603948400365,60.0,0.5,3,20.0
2.53,11.05,stable,0.4171730454081801,37.03571973343842,62.5471072211534,0.41717304540818134,36.44789888219613,63.13492807239569,60.0,0.5,3,20.5
2.53,11.05,stable,0.36376770975469047,35.94555930889919,63.69067298134611,0.3637677097546913,35.375041186842545,64.26119110340277,60.0,0.5,3,21.0
