N_Ahalf,N_Bhalf,N_Chalf,N_A%,N_B%,N_C%,AnN_A%,AnN_B%,AnN_C%,tfinal,iterlength,elementtotal,timestep
2.53,11.05,stable,1.2481103708102668,47.44251487037944,51.309374758810286,1.2481103708102672,45.91940106226832,52.8324885669214,60.0,1.0,3,17.0
2.53,11.05,stable,0.9490056626483144,44.85705132518255,54.19394301216913,0.9490056626483143,43.416942291097776,55.634052046253906,60.0,1.0,3,18.0
2.53,11.05,stable,0.72158021341806,42.357108156930515,56.92131162965142,0.7215802134180604,40.997258315880956,58.28116147070098,60.0,1.0,3,19.0
2.53,11.05,stable,0.5486563725483349,39.95466326308225,59.49668036436941,0.548656372548335,38.67194249078135,60.77940113667032,60.0,1.0,3,20.0
2.53,11.05,stable,0.41717304540818095,37.65684971299706,61.92597724159476,0.41717304540818134,36.44789888219613,63.13492807239569,60.0,1.0,3,21.0
2.53,11.05,stable,0.31719917697630395,35.46723683628286,64.21556398674083,0.3171991769763041,34.32858222852266,65.35421859450102,60.0,1.0,3,22.0
2.53,11.05,stable,0.24118365024278599,33.386797004529974,66.37201934522724,0.2411836502427862,32.31493368393793,67.44388266581927,60.0,1.0,3,23.0
2.53,11.05,stable,0.18338494348861445,31.414633872546716,68.40198118396466,0.1833849434886146,30.40608567988114,69.41052937663024,60.0,1.0,3,24.0
2.53,11.05,stable,0.13943746793975817,29.548529661180964,70.31203287087928,0.13943746793975823,28.599891637684774,71.26067089437545,60.0,1.0,3,25.0
2.53,11.05,stable,0.10602183088525043,27.785355239151343,72.1086229299634,0.10602183088525051,26.893322884971774,73.00065528414297,60.0,1.0,3,26.0
2.53,11.05,stable,0.08061411893334855,26.121376251217438,73.79800962984922,0.08061411893334859,25.282764955762378,74.63662092530427,60.0,1.0,3,27.0
2.53,11.05,stable,0.061295264542579636,24.552480550073604,75.38622418538382,0.06129526454257969,23.764237720801823,76.1744670146556,60.0,1.0,3,28.0
2.53,11.05,stable,0.04660609710876062,23.074346115523984,76.87904778736726,0.04660609710876065,22.33355791578982,77.6198359871014,60.0,1.0,3,29.0
2.53,11.05,stable,0.0354371304850528,21.682564027514402,78.28199884200055,0.03543713048505285,20.98645816643621,78.97810470307873,60.0,1.0,3,30.0
2.53,11.05,stable,0.02694476248642167,20.372727550255338,79.60032768725824,0.02694476248642172,19.718673212590936,80.25438202492263,60.0,1.0,3,31.0
2.53,11.05,stable,0.020487556851024043,19.14049571745432,80.83901672569465,0.020487556851024057,18.526001452110307,81.45351099103867,60.0,1.0,3,32.0
2.53,11.05,stable,0.015577794977241408,17.981637781705672,82.00278442331708,0.015577794977241426,17.404347963225412,82.58007424179733,60.0,1.0,3,33.0
2.53,11.05,stable,0.011844638095090301,16.89206335086358,83.09609201104132,0.01184463809509032,16.349753673404813,83.63840168850008,60.0,1.0,3,34.0
2.53,11.05,stable,0.00900611747738566,15.867841864043745,84.12315201847886,0.009006117477385663,15.35841421009073,84.63257967243189,60.0,1.0,3,35.0
2.53,11.05,stable,0.006847837085887179,14.905214171023104,85.087937991891,0.006847837085887185,14.426691108348937,85.56646105456518,60.0,1.0,3,36.0
2.53,11.05,stable,0.0052067800439645285,14.000598303770076,85.99419491618595,0.005206780043964536,13.551117397107532,86.44367582284849,60.0,1.0,3,37.0
2.53,11.05,stable,0.00395899582396606,13.150591016343368,86.84544998783265,0.003958995823966069,12.728399089618168,87.26764191455786,60.0,1.0,3,38.0
2.53,11.05,stable,0.003010238151378972,12.35196628044608,87.64502348140253,0.003010238151378974,11.955413727309477,88.04157603453913,60.0,1.0,3,39.0
2.53,11.05,stable,0.002288846498185943,11.601671628862933,88.39603952463887,0.0022888464981859463,11.229206840616119,88.76850431288568,60.0,1.0,3,40.0
2.53,11.05,stable,0.001740333498151362,10.896823015299463,89.10143665120236,0.0017403334981513652,10.546986973839783,89.45127269266206,60.0,1.0,3,41.0
2.53,11.05,stable,0.0013232694666017325,10.234698689645374,89.763978040888,0.0013232694666017333,9.906119757043545,90.09255697348985,60.0,1.0,3,42.0
